Nombre,Domicilio,Localidad,Departamento,Provincia,Otro Domicilio,Piso,CP,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,Actividad Específica,Denominación Específica,Fuente,Sector,Categoría,Seleccione el tipo de gestión,Cantidad de pantallas,Cantidad de butacas,Referente
"Palmas Multiplex","Las Magnolias 754","Pilar","Pilar (Buenos Aires)","Buenos Aires","","Piso 1","1629","s/d","s/d","https://www.multiplex.com.ar/","","-34.44706700000000000000","-58.86709800000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","9","1407",""
"Atlantica Oasis","Av. Shaw 644","Pinamar","Pinamar (Buenos Aires)","Buenos Aires","","","7167","s/d","s/d","http://www.cineoasis.com.ar/","","-38.72210300000000000000","-62.26150700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","744",""
"Cinema Colon","Rivadavia 459","Punta Alta","Coronel de Marina L. Rosales (Buenos Aires)","Buenos Aires","","","8109","s/d","s/d","http://www.cinemacolon.com.ar","","-38.88019600000000000000","-62.07672100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","390",""
"Cine Teatro Municipalidad De Quilmes","Mitre 721","Quilmes","Quilmes (Buenos Aires)","Buenos Aires","","","1878","s/d","s/d","https://www.facebook.com/INCAAQuilmes/","Espacio INCAA","-34.72256600000000000000","-58.25320100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","415",""
"Hoyts General Cinema Quilmes","Av. Calchaqui 3950","Quilmes","Quilmes (Buenos Aires)","Buenos Aires","","","1879","s/d","s/d","https://www.cinemarkhoyts.com.ar/","","-34.75970300000000000000","-58.27879400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","12","2580",""
"Showcase Quilmes","Olavarria 180","Quilmes","Quilmes (Buenos Aires)","Buenos Aires","","","1878","s/d","s/d","https://www.todoshowcase.com/","","-34.72545900000000000000","-58.25529400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","8","1730",""
"Atlas Nordelta","Av. De Los Lagos 7010","Tigre","Tigre (Buenos Aires)","Buenos Aires","","","1617","s/d","s/d","http://www.nordeltacc.com.ar/","","-34.39934000000000000000","-58.65379700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","5","969",""
"Cine Frances","Bartolomé Mitre 328","Rojas","Rojas (Buenos Aires)","Buenos Aires","","","2705","s/d","s/d","https://www.facebook.com/CineFrancesRojas/","","-34.19814600000000000000","-60.73200100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","230",""
"Cine Teatro Soc. Italiana","Pueyrredón 77","Salliquelo","Salliquelo (Buenos Aires)","Buenos Aires","","","6339","s/d","s/d","Facebook: Cine Salliqueló - Sociedad Italiana","","-36.75090850000000000000","-62.95860570000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","420",""
"Cervantes","Alvear 65","Salto","Salto (Buenos Aires)","Buenos Aires","","","2741","s/d","s/d","","","-34.29298600000000000000","-60.25526400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","220",""
"Cinepolis Merlo","Av. Juan Domingo Peron 24056","Merlo","Merlo (Buenos Aires)","Buenos Aires","","","1718","s/d","s/d","https://www.villagecines.com/","","-34.66661000000000000000","-58.70290200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","6","1315",""
"Atlantica Arenas","Chiozza 1776","Mar de Ajo - San Bernardo","La Costa (Buenos Aires)","Buenos Aires","","","7111","s/d","s/d","","","-36.69927800000000000000","-56.67743400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","3","1358",""
"Gran Tuyu","Av. San Martin 181","San Clemente del Tuyu","La Costa (Buenos Aires)","Buenos Aires","","","7105","s/d","s/d","https://www.facebook.com/cine.tuyu/","","-36.35686300000000000000","-56.72189200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","450",""
"Cinemark San Justo","Av. Juan Manuel De Rosas 3990","La Matanza","La Matanza (Buenos Aires)","Buenos Aires","","","1754","s/d","s/d","https://www.cinemarkhoyts.com.ar","","-34.68511600000000000000","-58.55825500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","6","1843",""
"La Palma","Belgrano 961","San Pedro","San Pedro (Buenos Aires)","Buenos Aires","","","2930","s/d","s/d","https://www.facebook.com/MEC.LaPalma/","","-33.67882600000000000000","-59.66801100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","471",""
"Atlantica Yanel","Calle 32 372","Santa Teresita - Mar del Tuyu","La Costa (Buenos Aires)","Buenos Aires","","","7107","s/d","s/d","","","-36.53491100000000000000","-56.69402700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","635",""
"Atlantico","Calle 41 258","Santa Teresita - Mar del Tuyu","La Costa (Buenos Aires)","Buenos Aires","","","7107","s/d","s/d","","","-36.54343000000000000000","-56.70091200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","1107",""
"Cinemacenter Tandil","Panama 351","Tandil","Tandil (Buenos Aires)","Buenos Aires","","","7000","s/d","s/d","http://www.cinemacenter.com.ar/","","-37.32425800000000000000","-59.11475800000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","4","758",""
"Espacio INCAA Unicen","Yrigoyen 662","Tandil","Tandil (Buenos Aires)","Buenos Aires","","","7000","s/d","s/d","","Espacio INCAA","-37.32613170000000000000","-59.13857720000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público nacional","1","430",""
"Centro Cultural Municipal Dr. Ricardo Romera","Av. 9 De Julio Y Av. San Martin","Tapalque","Tapalque (Buenos Aires)","Buenos Aires","","","7303","s/d","s/d","","Espacio INCAA","-36.35693900000000000000","-60.02521200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","264",""
"Hoyts Temperley","Av. Hipolito Irigoyen 10699","Lomas de Zamora","Lomas de Zamora (Buenos Aires)","Buenos Aires","","","1834","s/d","s/d","https://www.cinemarkhoyts.com.ar/","","-34.78169200000000000000","-58.40667500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","9","2382",""
